list.inhabited,46,53,5,28,2,42,5,4,3,1
io.process.stdio.inherit.inj,8,42,2,1,3,40,6,4,4,1
std_gen.s2,58,61,10,32,2,31,4,4,3,1
tactic.unfold_config.canonize_instances._default,3,99,2,1,3,98,7,4,4,1
vm_obj_kind.options.inj,8,76,2,1,3,74,17,15,15,1
list.has_emptyc,46,53,5,28,2,42,5,4,3,1
format.color.grey.inj,8,55,2,1,3,53,10,8,8,1
vm_obj_kind.environment.inj,8,76,2,1,3,74,17,15,15,1
rsimp.config.attr_name,60,1381,11,34,15,1352,22,8,5,1
rsimp.config.max_rounds,59,1380,10,34,15,1352,22,8,5,1
format.color.blue.inj,8,55,2,1,3,53,10,8,8,1
tactic.transparency.all.inj,8,49,2,1,3,47,8,6,6,1
vm_decl_kind.builtin.inj,8,42,2,1,3,40,6,4,4,1
congr_arg_kind.fixed.inj,8,52,2,1,3,50,9,7,7,1
vm_obj_kind.native_closure.inj,8,76,2,1,3,74,17,15,15,1
tactic.dunfold_config.md._default,3,97,2,1,4,96,15,7,7,1
vm_obj_kind.constructor.inj,8,76,2,1,3,74,17,15,15,1
congr_arg_kind.heq.inj,8,52,2,1,3,50,9,7,7,1
binder_info.inst_implicit.inj,8,49,2,1,3,47,8,6,6,1
tactic.unfold_config.constructor_eq._default,3,99,2,1,3,98,7,4,4,1
feature_search.predictor_cfg.type,59,91,10,34,4,61,8,6,4,1
congr_arg_kind.eq.inj,8,52,2,1,3,50,9,7,7,1
bool.tt.inj,8,40,2,1,3,38,5,3,3,1
occurrences.all.inj,8,85,2,1,5,83,10,5,5,1
binder_info.default.inj,8,49,2,1,3,47,8,6,6,1
io.mode.write.inj,8,46,2,1,3,44,7,5,5,1
expr.coord.pi_body.inj,8,61,2,1,3,59,12,10,10,1
expr.coord.lam_body.inj,8,61,2,1,3,59,12,10,10,1
io.mode.read_write.inj,8,46,2,1,3,44,7,5,5,1
tactic.new_goals.non_dep_first.inj,8,42,2,1,3,40,6,4,4,1
ematch_config.max_instances,58,61,11,32,2,31,4,4,3,1
environment.implicit_infer_kind.implicit.inj,8,42,2,1,3,40,6,4,4,1
vm_obj_kind.other.inj,8,76,2,1,3,74,17,15,15,1
expr.coord.elet_assignment.inj,8,61,2,1,3,59,12,10,10,1
vm_obj_kind.tactic_state.inj,8,76,2,1,3,74,17,15,15,1
mk_simple_name,20,1346,4,7,14,1341,24,8,5,1
reducibility_hints.opaque.inj,8,71,2,1,5,69,10,4,5,1
pos.line,58,61,11,32,2,31,4,4,3,1
tactic.interactive.case_tag.match_result.exact_match.inj,8,42,2,1,3,40,6,4,4,1
option.inhabited,46,49,5,28,2,38,5,4,3,1
tactic.delta_config.visit_instances,59,69,10,34,3,39,6,4,4,1
feature_search.predictor_type.knn.inj,8,42,2,1,3,40,6,4,4,1
combinator.K,9,12,11,1,0,7,1,1,1,1
widget.mouse_event_kind.on_mouse_enter.inj,8,42,2,1,3,40,6,4,4,1
tactic.transparency.none.inj,8,49,2,1,3,47,8,6,6,1
io.mode.append.inj,8,46,2,1,3,44,7,5,5,1
format.color.red.inj,8,55,2,1,3,53,10,8,8,1
io.mode.read.inj,8,46,2,1,3,44,7,5,5,1
expr.coord.app_arg.inj,8,61,2,1,3,59,12,10,10,1
expr.coord.elet_var_type.inj,8,61,2,1,3,59,12,10,10,1
tactic.interactive.case_tag.match_result.no_match.inj,8,42,2,1,3,40,6,4,4,1
name.anonymous.inj,8,1361,2,1,16,1359,23,8,5,1
tactic.interactive.case_tag.match_result.fuzzy_match.inj,8,42,2,1,3,40,6,4,4,1
non_contradictory,11,8,4,2,1,2,1,1,1,1
format.color.green.inj,8,55,2,1,3,53,10,8,8,1
feature_search.predictor_cfg.to_feature_cfg,60,91,11,34,4,61,8,6,4,1
tactic.tag.equations._eqn_1,41,1366,4,31,15,1357,22,8,5,1
tactic.transparency.semireducible.inj,8,49,2,1,3,47,8,6,6,1
subsingleton_info.specialized,58,57,11,32,2,27,4,4,3,1
tactic.unfold_proj_config.md._default,3,97,2,1,4,96,15,7,7,1
tactic.simp_intros_config.to_simp_config,60,139,11,34,4,109,7,5,4,1
widget.mouse_event_kind.on_click.inj,8,42,2,1,3,40,6,4,4,1
congr_arg_kind.subsingleton_inst.inj,8,52,2,1,3,50,9,7,7,1
vm_obj_kind.name.inj,8,76,2,1,3,74,17,15,15,1
ordering.eq.inj,8,42,2,1,3,40,6,4,4,1
reader,24,39,5,11,1,3,2,2,2,1
expr.coord.elet_body.inj,8,61,2,1,3,59,12,10,10,1
binder_info.implicit.inj,8,49,2,1,3,47,8,6,6,1
nat.zero.inj,8,45,2,1,3,43,5,3,3,1
environment.implicit_infer_kind.relaxed_implicit.inj,8,42,2,1,3,40,6,4,4,1
ordering.gt.inj,8,42,2,1,3,40,6,4,4,1
format.color.pink.inj,8,55,2,1,3,53,10,8,8,1
vm_obj_kind.expr.inj,8,76,2,1,3,74,17,15,15,1
interactive.loc.wildcard.inj,8,1390,2,1,18,1388,27,8,5,1
format.color.orange.inj,8,55,2,1,3,53,10,8,8,1
pos.column,58,61,10,32,2,31,4,4,3,1
rfl,39,37,6,25,1,20,2,2,2,1
_private.2042382769.V,46,54,9,15,3,3,4,4,3,1
decidable_pred,27,46,10,8,2,6,3,3,3,1
coe_sort_bool,86,82,8,48,3,40,5,4,3,1
empty.rec_on,34,24,6,18,1,9,1,1,1,1
_private.3043571171.U,46,55,9,15,3,3,5,4,3,1
set_of,7,10,4,3,0,7,1,1,1,1
smt_pre_config.max_steps,71,1398,12,43,16,1363,24,9,5,1
tactic.rewrite_cfg.symm,71,177,12,43,8,141,20,10,7,1
coe_bool_to_Prop,81,77,7,44,3,37,5,4,3,1
smt_pre_config.simp_attr,72,1398,13,43,16,1363,24,9,5,1
list.ret,54,43,7,20,1,29,4,3,3,1
tactic.rewrite_cfg.occs,71,177,11,43,8,141,20,10,7,1
unification_hint.pattern,62,87,11,36,3,57,5,5,3,1
unification_constraint.α,72,59,13,39,1,22,2,2,2,1
true.cases_on,41,27,11,15,1,8,2,2,2,1
true.rec_on,41,27,11,15,1,8,2,2,2,1
tactic.rewrite_cfg.to_apply_cfg,72,177,13,43,8,141,20,10,7,1
smt_pre_config.zeta,71,1398,11,43,16,1363,24,9,5,1
not.intro,7,11,4,3,1,8,1,1,1,1
empty.cases_on,34,24,6,18,1,9,1,1,1,1
iff.refl,74,52,5,37,1,23,2,2,2,1
state,31,63,8,11,2,3,3,3,2,1
smt_config.cc_cfg,80,1466,15,50,20,1426,29,10,5,1
smt_config.cc_cfg._default,69,1394,5,40,17,1383,27,9,5,1
heq.rfl,43,47,6,28,1,27,2,2,2,1
smt_config.em_cfg,79,1466,14,50,20,1426,29,10,5,1
environment.projection_info.is_class,79,1406,12,48,16,1366,24,9,5,1
string_imp.data,72,1000,10,51,12,974,17,7,4,1
smt_config.pre_cfg,80,1466,13,50,20,1426,29,10,5,1
cc_config.ho_fns._default,19,1359,3,15,15,1358,24,8,5,1
environment.projection_info.idx,78,1406,13,48,16,1366,24,9,5,1
environment.projection_info.cname,79,1406,15,48,16,1366,24,9,5,1
smt_config.em_attr,80,1466,12,50,20,1426,29,10,5,1
environment.projection_info.nparams,78,1406,14,48,16,1366,24,9,5,1
reflexive,28,16,9,9,0,6,1,1,1,1
classical.inhabited_of_nonempty,49,47,7,22,2,31,3,2,2,1
string.empty.equations._eqn_1,53,999,5,40,13,990,19,7,4,1
feature_search.feature_cfg.ignore_decidable,82,85,14,48,2,38,4,4,3,1
except.return,55,51,10,28,1,34,3,3,3,1
or.intro_right,55,42,10,28,1,20,3,3,3,1
feature_search.feature_cfg.ignore_pi_domain,82,85,16,48,2,38,4,4,3,1
trace_call_stack,15,17,5,4,1,12,2,2,2,1
feature_search.feature_cfg.ignore_type_args,82,85,15,48,2,38,4,4,3,1
feature_search.feature_cfg.ignore_tc,82,85,17,48,2,38,4,4,3,1
unification_hint.constraints,71,88,11,46,3,57,5,5,3,1
lean.special_version_desc.equations._eqn_1,53,999,5,40,13,990,19,7,4,1
or.intro_left,53,42,10,28,1,20,4,3,3,1
feature_search.feature_cfg.ignore_conns,82,85,13,48,2,38,4,4,3,1
set.univ,5,10,3,1,1,5,2,2,2,1
ne,48,36,11,15,2,5,2,2,2,1
iff_true_intro,84,67,11,42,2,27,3,3,2,1
iff.rfl,74,52,5,37,1,23,2,2,2,1
false.dcases_on,49,30,9,28,1,9,1,1,1,1
coe_option,82,67,8,48,2,45,4,4,3,1
cc_config.ignore_instances,85,1424,15,54,17,1384,26,9,5,1
fun_info.result_deps,75,120,11,50,5,89,9,6,4,1
cc_config.ac,85,1424,14,54,17,1384,26,9,5,1
string_to_name,68,1378,6,38,15,1358,25,8,5,1
false.drec_on,49,30,9,28,1,9,1,1,1,1
cc_config.em,85,1424,12,54,17,1384,26,9,5,1
fun_info.params,77,120,12,50,5,89,9,6,4,1
true_eq_false_of_false,56,47,7,35,3,30,3,2,2,1
string.iterator_imp.snd,73,1007,11,46,12,977,17,7,4,1
string.iterator_imp.fst,73,1007,12,46,12,977,17,7,4,1
false.drec,49,30,9,28,1,9,1,1,1,1
has_one.one,101,69,13,55,1,20,2,2,2,1
has_zero.zero,101,69,13,55,1,20,2,2,2,1
decidable_rel,41,51,15,13,2,7,3,3,3,1
plift.down,101,70,13,55,1,21,2,2,2,1
inhabited.default,101,70,13,55,1,21,2,2,2,1
tactic.apply_cfg.opt_param,99,133,16,60,4,76,12,7,6,1
timeit,17,982,7,4,12,977,17,7,4,1
tactic.apply_cfg.md,101,133,21,60,4,76,12,7,6,1
tactic.apply_cfg.approx,99,133,20,60,4,76,12,7,6,1
ulift.down,101,69,13,55,1,20,2,2,2,1
name.inhabited.equations._eqn_1,63,1380,5,46,16,1369,25,8,5,1
has_emptyc.emptyc,101,69,13,55,1,20,2,2,2,1
param_info.is_dec_inst,95,129,15,58,4,77,8,5,4,1
tactic.apply_cfg.auto_param,99,133,17,60,4,76,12,7,6,1
tactic.apply_cfg.unify,99,133,15,60,4,76,12,7,6,1
nat.inhabited.equations._eqn_1,63,66,5,46,3,55,6,4,3,1
tactic.apply_cfg.instances,99,133,18,60,4,76,12,7,6,1
trace,17,982,7,4,12,977,17,7,4,1
bool.inhabited.equations._eqn_1,63,61,5,46,3,50,6,4,3,1
tactic.apply_cfg.new_goals,101,133,19,60,4,76,12,7,6,1
decidable.true.equations._eqn_1,64,72,5,47,4,61,5,4,3,1
prop.inhabited.equations._eqn_1,63,55,5,46,3,44,4,3,2,1
param_info.has_fwd_deps,95,129,16,58,4,77,8,5,4,1
environment.implicit_infer_kind.inhabited.equations._eqn_1,63,64,5,46,3,53,8,5,4,1
nat.has_le.equations._eqn_1,71,95,5,55,4,82,7,5,3,1
punit.inhabited.equations._eqn_1,64,58,5,47,3,47,4,3,2,1
param_info.is_prop,95,129,17,58,4,77,8,5,4,1
occurrences.inhabited.equations._eqn_1,63,105,5,46,5,94,12,6,5,1
param_info.is_implicit,95,129,19,58,4,77,8,5,4,1
param_info.is_inst_implicit,95,129,18,58,4,77,8,5,4,1
nat.has_zero.equations._eqn_1,63,66,5,46,3,55,6,4,3,1
true.inhabited.equations._eqn_1,64,56,5,47,3,45,4,3,2,1
decidable_eq,50,65,11,19,3,3,4,4,3,1
implies_true_iff,92,79,10,53,2,28,3,3,2,1
punit.rec_on,58,40,11,29,1,15,2,2,2,1
has_monad_lift_t_refl,74,62,8,44,1,36,2,2,2,1
list.has_singleton,110,84,10,56,2,52,5,4,3,1
punit.cases_on,58,40,11,29,1,15,2,2,2,1
is_dec_refl,58,54,12,22,2,17,4,3,3,1
irreflexive,35,19,10,10,1,6,1,1,1,1
set.equations._eqn_1,41,44,5,29,1,27,2,2,2,1
int.zero,9,33,2,4,2,32,7,5,4,1
proof_irrel,52,45,10,25,1,24,2,2,2,1
symmetric,55,23,21,18,0,6,1,1,1,1
not_not_intro,17,15,9,4,1,8,1,1,1,1
scope_trace,19,34,9,4,2,28,4,3,3,1
true_implies_iff,97,78,14,56,2,28,3,3,2,1
param_info.back_deps,111,130,15,73,4,77,8,5,4,1
has_neg.neg,112,76,18,68,1,22,2,2,2,1
int.one,16,34,3,6,2,32,7,5,4,1
has_sizeof.sizeof,116,91,17,72,2,37,4,4,3,1
has_to_string.to_string,116,1039,17,72,13,988,18,7,4,1
total,53,41,19,14,1,6,3,3,3,1
iff.decidable._proof_1,88,68,23,42,1,25,2,2,2,1
xor,44,44,12,7,3,3,4,4,3,1
has_repr.repr,116,1039,17,72,13,988,18,7,4,1
list.last._main._proof_1,55,66,5,40,2,48,5,3,3,1
io.process.spawn_args.env._default,31,1011,4,25,14,1010,21,7,4,1
function.surjective,72,67,27,28,2,7,3,3,2,1
left_identity,58,45,16,20,1,8,2,2,2,1
option.decidable_eq._main._proof_1,55,62,5,40,2,44,5,3,3,1
list.has_dec_eq._main._proof_1,55,66,5,40,2,48,5,3,3,1
iff.to_eq,78,69,10,42,2,44,3,3,2,1
function.app,26,21,14,9,0,13,1,1,1,1
nat.has_one.equations._eqn_1,69,67,6,52,3,56,6,4,3,1
cc_config.ho_fns,111,1425,15,81,17,1384,26,9,5,1
right_identity,58,45,18,20,1,8,2,2,2,1
list.nil.inj,13,55,3,1,3,52,5,3,3,1
has_inv.inv,112,76,18,68,1,22,2,2,2,1
string.has_to_string.equations._eqn_1,68,1022,5,51,14,1005,19,7,4,1
bin_tree.empty.inj,13,66,3,1,3,63,6,4,4,1
option.none.inj,13,51,3,1,3,48,5,3,3,1
nonempty.rec_on,77,52,17,34,1,16,2,2,2,1
nonempty.elim,77,52,17,34,1,16,2,2,2,1
and.right,109,78,15,49,1,20,2,2,2,1
and.left,109,78,17,49,1,20,2,2,2,1
absurd,37,27,17,13,1,10,1,1,1,1
commutative,67,47,20,21,1,7,2,2,2,1
iff_false_intro,90,70,8,45,2,27,2,2,2,1
tactic.simp_config.lift_eq._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
combinator.I.equations._eqn_1,39,38,6,25,1,21,2,2,2,1
tactic.dsimp_config.unfold_reducible._default.equations._eqn_1,35,43,3,25,2,34,5,3,3,1
tactic.dsimp_config.md._default.equations._eqn_1,35,52,3,25,2,43,11,6,6,1
tactic.dsimp_config.single_pass._default.equations._eqn_1,35,43,3,25,2,34,5,3,3,1
set.has_emptyc,36,37,5,23,2,22,2,2,2,1
id.equations._eqn_1,39,37,6,25,1,20,2,2,2,1
tactic.simp_config.memoize._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
cc_config.ignore_instances._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
iff.elim,95,81,10,54,1,24,2,2,2,1
tactic.simp_config.beta._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.dsimp_config.eta._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.dsimp_config.iota._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.simp_config.canonize_proofs._default.equations._eqn_1,35,43,3,25,2,34,5,3,3,1
io.equations._eqn_1,51,1024,6,37,14,1007,20,7,4,1
feature_search.feature_cfg.ignore_decidable._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.rewrite_cfg.symm._default.equations._eqn_1,35,43,3,25,2,34,5,3,3,1
tactic.apply_cfg.instances._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.apply_cfg.md._default.equations._eqn_1,35,52,3,25,2,43,11,6,6,1
io.process.spawn_args.stdin._default.equations._eqn_1,35,45,3,25,2,36,7,4,4,1
tactic.apply_cfg.approx._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
io.process.spawn_args.stderr._default.equations._eqn_1,35,45,3,25,2,36,7,4,4,1
feature_search.feature_cfg.ignore_tc._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.simp_config.contextual._default.equations._eqn_1,35,43,3,25,2,34,5,3,3,1
auto_param.equations._eqn_1,39,1373,6,25,15,1357,22,8,5,1
tactic.simp_config.canonize_instances._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
feature_search.feature_cfg.ignore_pi_domain._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.simp_config.iota_eqn._default.equations._eqn_1,35,43,3,25,2,34,5,3,3,1
tactic.dsimp_config.canonize_instances._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
tactic.apply_cfg.opt_param._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
feature_search.feature_cfg.ignore_type_args._default.equations._eqn_1,35,43,3,25,2,34,4,3,3,1
