name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
CategoryTheory.Groupoid.inv,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Idempotents.karoubiCochainComplexEquivalence_functor_map_f_f,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Idempotents.Karoubi.inclusionHom,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.instEffectiveEpiOfIsIso,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.instFaithfulMonadFunctorMonadToFunctor,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.instFaithfulSheafSheafCompose,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.isCodetecting_iff_isCoseparating,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Iso.inv,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.IsVanKampenColimit.whiskerEquivalence,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.LaxMonoidalFunctor._sizeOf_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.LaxMonoidal.left_unitality,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Bicones.functoriality_obj_ι,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.BinaryFan.isLimit_iff_isIso_fst,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.biproduct.conePointUniqueUpToIso_hom,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Cocones.extendIso.proof_4,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Cone.toStructuredArrow_map,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.coproductIsCoproduct.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.HasCokernels.casesOn,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.hasSmallestLimitsOfHasLimits,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.IsLimit.conePointUniqueUpToIso_inv_comp,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.KernelFork.IsLimit.ofId.proof_3,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.kernelIsKernel.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.LimitBicone.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Multifork.ofPiFork.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.PreservesBiproducts.casesOn,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.preservesLimitOfPreservesEqualizersAndProduct.proof_7,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.PullbackCone.flipIsLimit.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.pullback.snd,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.pushoutZeroZeroIso.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Sigma.map\\'_eq,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Trident.IsLimit.homIso_natural,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Types.binaryProductFunctor_map_app,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.Types.colimit_sound\\',-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.walkingSpanOpEquiv_inverse_obj,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Limits.π_comp_cokernelIsoOfEq_inv_assoc,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Linear.preadditiveIntLinear,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Localization.StrictUniversalPropertyFixedTarget.op.proof_3,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Monad.Algebra.Hom.id,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.NatTrans.pi\\'_app,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.OplaxNatTrans.ModificationIso.ofComponents_inv_app,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.OverPresheafAux.counitForward,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.OverPresheafAux.yonedaCollectionFunctor,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Preadditive.compHom,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.preadditiveCoyoneda.proof_2,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.preservesColimitNatIso.proof_1,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Presieve.natTransEquivCompatibleFamily.proof_5,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.Pretriangulated.binaryProductTriangle_obj₂,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.prodCoprodDistrib,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.regularTopology.instEffectiveEpiComp,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.regularTopology.isSheaf_yoneda_obj,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.R_full_of_counit_isIso,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.sheafEquivSheafOfTypes_functor_map_val,-1,-1,-1,-1,-1,-1,-1,-1239
CategoryTheory.sheafOfTypesBotEquiv_inverse_map_val,-1,-1,-1,-1,-1,-1,-1,-1239
