name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
feature_search.feature_cfg.ignore_type_args._default.equations._eqn_1,72085,8296,30261,0,5706,5706,0
tactic.simp_config.proj._default.equations._eqn_1,72085,7943,30210,0,5656,5656,0
cc_config.ac._default.equations._eqn_1,72085,8235,30373,0,5746,5746,0
tactic.simp_config.single_pass._default.equations._eqn_1,72179,9079,31066,0,6586,6586,0
tactic.simp_config.zeta._default.equations._eqn_1,72085,8188,30117,0,5686,5686,0
feature_search.feature_cfg.ignore_conns._default.equations._eqn_1,72085,8188,30225,0,5672,5672,0
tactic.simp_config.use_axioms._default.equations._eqn_1,72085,7875,29960,0,5540,5540,0
tactic.simp_intros_config.use_hyps._default.equations._eqn_1,72179,8876,31675,0,6247,6247,0
tactic.simp_config.iota._default.equations._eqn_1,72085,8028,30210,0,5624,5624,0
infer_instance.equations._eqn_1,76398,9139,32131,0,6088,6088,0
tactic.delta_config.visit_instances._default.equations._eqn_1,72085,8456,30399,0,5676,5676,0
tactic.dsimp_config.zeta._default.equations._eqn_1,72085,8220,30293,0,5708,5708,0
cc_config.em,405452,464615,170006,3,65093,-1,101
tactic.simp_config.constructor_eq._default.equations._eqn_1,72085,7964,30096,0,5587,5587,0
iff.elim,179204,30791,73338,0,14272,14272,0
tactic.apply_cfg.unify._default.equations._eqn_1,72085,8482,30418,0,5788,5788,0
tactic.dsimp_config.fail_if_unchanged._default.equations._eqn_1,72085,8389,30615,0,5821,5821,0
tactic.dsimp_config.memoize._default.equations._eqn_1,72085,8551,30427,0,5791,5791,0
tactic.dsimp_config.proj._default.equations._eqn_1,72085,6458,25425,0,4952,4952,0
smt_pre_config.zeta._default.equations._eqn_1,72179,8467,30604,0,5771,5771,0
tactic.apply_cfg.new_goals._default.equations._eqn_1,72907,8413,30794,0,5692,5692,0
tactic.simp_config.fail_if_unchanged._default.equations._eqn_1,72085,8609,30583,0,5769,5769,0
