,name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
79,combinator.S,49907,5055,19565,0,3743,3743,0
80,and.right,130063,17173,48973,0,9016,9016,0
81,has_neg.neg,139110,23750,59665,0,12838,12838,0
82,tactic.unfold_proj_config.cases_on,94681,12826,38899,0,7204,7204,0
83,true.dcases_on,106107,14093,41995,0,7783,7783,0
84,monad_io_terminal.cmdline_args,-1,-1,-1,-1,-1,-1,200
85,bool.has_sizeof,58048,6277,22587,0,4252,4252,0
86,anti_symmetric,121722,16367,46409,0,8683,8683,0
87,subsingleton_info.cases_on,84035,9871,34289,0,6392,6392,0
88,tactic.simp_intros_config.cases_on,99211,14783,40114,0,7594,7594,0
89,unification_hint.rec_on,91235,11404,37095,0,6896,6896,0
90,int.has_coe.equations._eqn_1,141108,27001,60131,0,12557,12557,0
91,widget.mouse_event_kind.cases_on,115966,15287,44384,0,8460,8460,0
92,has_sdiff.sdiff,152658,25827,64118,0,12556,12556,0
93,widget.mouse_event_kind.rec_on,115966,15559,44282,0,8534,8534,0
94,vm_decl_kind.rec_on,115966,14579,43906,0,8270,8270,0
95,tactic.dsimp_config.eta,161030,26975,67128,0,13388,13388,0
96,tactic.unfold_config.canonize_instances._default.equations._eqn_1,70702,10683,31345,0,6475,6475,0
97,nat.cases_on,129145,17216,48463,0,9183,9183,0
98,plift.cases_on,128491,18093,48891,0,9348,9348,0
99,has_emptyc.rec_on,128491,16889,48405,0,9471,9471,0
100,option.inhabited.equations._eqn_1,123659,17724,47287,0,9183,9183,0
101,monad_io_terminal.put_str,-1,-1,-1,-1,-1,-1,200
102,inhabited.rec_on,128491,18326,48818,0,9347,9347,0
103,true_or,181324,28298,72289,0,13882,13882,0
104,bit0,172952,25166,69292,0,13243,13243,0
105,subsingleton.elim,175296,31184,70958,0,14776,14776,0
106,tactic.simp_config.contextual,192024,35147,77027,0,16453,16453,0
107,nat.has_lt.equations._eqn_1,148420,22823,62111,0,12064,12064,0
108,monad_io_environment.get_cwd,-1,-1,-1,-1,-1,-1,200
109,subtype.val,216695,40576,84576,0,16793,16793,0
110,or_self,252486,55359,96319,0,19499,19499,0
