name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
Nat.pred_inj.match_1,-1,-1,-1,-1,-1,-1,-1,-1000
UInt8.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.Linear.Expr.mulL.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1000
List.zipWithAll_cons_cons,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.ParserDescr.symbol.sizeOf_spec,-1,-1,-1,-1,-1,-1,-1,-1000
Option.join_join,-1,-1,-1,-1,-1,-1,-1,-1000
_private.Init.Omega.Constraint.0.Lean.Omega.Constraint.sat\\'._eq_1,-1,-1,-1,-1,-1,-1,-1,-1000
cast_heq,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.SOM.Expr.add.injEq,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Macro.Exception.noConfusion,-1,-1,-1,-1,-1,-1,-1,-1000
Array.forIn.loop.proof_3,-1,-1,-1,-1,-1,-1,-1,-1000
PSigma.lexNdepWf,-1,-1,-1,-1,-1,-1,-1,-1000
Bool.decide_true_eq,-1,-1,-1,-1,-1,-1,-1,-1000
dite_cond_eq_true,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.Linear.PolyCnstr.eq_true_of_isValid,-1,-1,-1,-1,-1,-1,-1,-1000
Int.ofNat_mul_negOfNat,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.instTransNatLeInstLENatLtInstLTNat,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Omega.Constraint._sizeOf_1,-1,-1,-1,-1,-1,-1,-1,-1000
TC.accessible,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Meta.instBEqOccurrences,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.le_zero,-1,-1,-1,-1,-1,-1,-1,-1000
Lean.Meta.TransparencyMode.noConfusionType,-1,-1,-1,-1,-1,-1,-1,-1000
Nat.forM.loop,-1,-1,-1,-1,-1,-1,-1,-1000
Bool.xor_right_comm,-1,-1,-1,-1,-1,-1,-1,-1000
ShareCommon.StateFactoryImpl.noConfusion,-1,-1,-1,-1,-1,-1,-1,-1000
