name,r1cs_size,simplify_time,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
is_preorder.to_is_trans,190731,1098145650,18816332241,64512881352,848,13399992229,301883911,0
or_self,246475,739077287,21897841196,79492853386,732,15741926151,204058898,0
is_total_preorder.to_is_trans,193593,1126673758,18386832510,65292048581,898,13194214376,407193209,0
_private.2042382769.V.equations._eqn_1,110043,931134946,9306585309,36291148449,1061,7161724285,239692690,0
coe_fn,-1,-1,-1,-1,-1,-1,-1,1
list.below,237206,1183844986,20968307750,75874556691,582,14891916288,185754189,0
is_linear_order.to_is_partial_order,204395,1900533300,18044077187,67855882809,931,13363613350,711765500,0
coe_b,197998,651512849,16212445324,65304698716,671,12728122864,143401613,0
has_sub.rec_on,131735,684736010,12204494297,48950738925,751,9557232553,165416928,0
has_sub.cases_on,131735,842346918,14801276200,49752119646,1323,10155480561,165527910,0
implies.trans,36713,459576395,3436663635,13297130219,564,2697493988,67655842,0
is_strict_total_order.to_is_trichotomous,213452,2186085795,18971016451,69643969981,729,13728456395,946235548,0
coe_t,197998,682908478,18297472688,65550325202,673,13447242994,144016645,0
buffer,-1,-1,-1,-1,-1,-1,-1,-1234
is_strict_total_order.to_is_strict_weak_order,214228,2169575147,20592161920,70537766442,764,13816681908,944784249,0
char_buffer,-1,-1,-1,-1,-1,-1,-1,-1234
true_or,176605,1201282406,24045412131,116944049705,797,12855149680,227430577,0
ordering.or_else._sunfold,110869,858861247,10894690680,36792312680,936,7968983258,118274714,0
option.rec_on,159337,854650351,19119495101,57566601446,1003,12523418818,176632764,0
feature_search.predictor_type.knn.inj_eq,237632,1029191316,20697266322,76088342522,599,14667690813,322553770,0
vm_obj_kind.other.inj_eq,245613,1047631778,21030143554,78616577008,886,15382482419,554521997,0
vm_decl_kind.bytecode.inj_eq,237632,1643756040,28216621324,76418568941,1087,16893393528,324486347,0
vm_decl_kind.builtin.inj_eq,237632,1053000626,21063520048,76258625242,608,14971458260,322556410,0
or_false,282981,1158653998,27404517680,108513310790,796,19452069884,215020458,0
ulift.down_up,51472,898287714,5063723123,17239397787,1200,3609411366,111780261,0
is_total_preorder.rec_on,179639,1279732933,18630046394,61317758067,735,12940223488,417381735,0
