name,r1cs_size,compile_time,gen_time,precompute_time,prove_time,verify_time,returncode
coe_sort_bool.equations._eqn_1,197968,45035,79398,0,15970,15970,0
has_monad_lift_to_has_coe,-1,-1,-1,-1,-1,-1,200
lift,206805,41451,89337,0,17193,17193,0
function.semiconj.id_right,72461,8635,34059,0,6308,6308,0
is_linear_order.to_is_total,212460,57957,95559,40,19546,19546,0
linear_ordered_ring.to_linear_order,-1,-1,-1,-1,-1,-1,200
prod.non_assoc_ring,-1,-1,-1,-1,-1,-1,200
doc_category.tactic.inj_eq,245366,46924,101366,0,19641,19641,0
has_pow.cases_on,208022,37792,81084,0,16209,16209,0
has_seq_right.rec_on,163771,28417,67279,0,13760,13760,0
add_opposite.has_neg,181421,30459,73328,0,14208,14208,0
is_well_order.to_is_trans,242179,57738,112073,0,21723,21723,0
functor.add_const.run.equations._eqn_1,66694,8194,32131,0,6104,6104,0
function.surjective.equations._eqn_1,159815,26548,71206,0,13649,13649,0
list.sorted_nil,215120,159964,98079,2,30381,30381,0
punit.default_eq_star,50701,5766,20291,0,3769,3769,0
list.perm.swap',-1,-1,-1,-1,-1,-1,2
id_bind.equations._eqn_1,72461,8006,33383,0,5994,5994,0
lean.special_version_desc.equations._eqn_1,249455,209858,102869,2,34787,34787,0
monad_except.throw,304871,84204,141841,0,28506,28506,0
relation.refl_trans_gen.is_refl.equations._eqn_1,234934,51227,97536,0,19133,19133,0
string_imp.rec_on,249127,203913,110839,2,34285,34285,0
subsingleton.drec,268366,59718,114826,0,23749,23749,0
is_dec_eq.equations._eqn_1,194588,41849,83571,0,17158,17158,0
Group,-1,-1,-1,-1,-1,-1,200
omega_complete_partial_order.continuous_hom.inhabited,-1,-1,-1,-1,-1,-1,200
add_opposite.op_comp_unop,64626,7498,26345,0,4826,4826,0
xor.decidable._match_2,191880,38782,93184,0,17276,17276,0
linear_ordered_ring.int_cast,-1,-1,-1,-1,-1,-1,200
antisymm_of',-1,-1,-1,-1,-1,-1,2
linear_ordered_field.exists_pair_ne,-1,-1,-1,-1,-1,-1,200
lex.comm_group.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
subtype.coind.equations._eqn_1,229445,48276,87475,0,18290,18290,0
is_order_connected.conn,323815,95711,131755,0,30528,30528,0
and.drec_on,356680,106738,154282,5,32148,32148,0
pos_num.of_znum'.equations._eqn_1,-1,-1,-1,-1,-1,-1,2
iff.symm,265334,80643,124033,0,27856,27856,0
set.maps_to,63634,8401,26687,0,4875,4875,0
bin_tree.cases_on,331548,82426,133974,0,30317,30317,0
add_opposite.rec.equations._eqn_1,98039,13983,38673,0,7446,7446,0
psigma.skip_left.equations._eqn_1,297681,79542,124956,0,26882,26882,0
commute.refl,222553,49954,86278,0,18823,18823,0
tactic.ring_exp.coeff.no_confusion_type,-1,-1,-1,-1,-1,-1,200
ssuperset.equations._eqn_1,232626,49223,96187,0,18842,18842,0
enat.has_zero,81401,10639,33279,0,6201,6201,0
linear_ordered_add_comm_group_with_top.lt._default,73900,10106,39290,0,6558,6558,0
eq.drec,387417,145983,168313,42,37016,37016,0
or_iff_left,338164,113653,137483,0,31618,31618,0
smt_config.cc_cfg,343077,379925,147947,3,55935,55935,0
subtype.is_empty_false,291085,67665,122331,0,28124,28124,0
environment.projection_info.cases_on,332161,345841,147726,14,58324,58324,0
sum.is_right.equations._eqn_1,59673,8098,23052,0,4494,4494,0
antisymm_of,403029,143812,157804,0,39394,39394,0
num.bit0._main.equations._eqn_1,56703,7242,22516,0,4171,4171,0
has_coe_t_aux.no_confusion_type,427299,132778,165785,0,39677,39677,0
prod.lex.has_lt,415926,203866,167252,27,43746,43746,0
nat.discriminate,315835,86003,130512,0,28648,28648,0
mul_opposite.is_empty.equations._eqn_1,214069,39412,83065,0,16517,16517,0
set.nonempty.equations._eqn_1,102050,13727,39500,0,7479,7479,0
pi.one_apply,219656,41811,84214,0,17575,17575,0
num.of_znum._main.equations._eqn_1,56703,7938,22800,0,4396,4396,0
except.to_option.equations._eqn_1,87238,13756,35469,0,7066,7066,0
to_additive.value_type.rec_on,344503,400195,150354,3,57800,57800,0
add_commute.semiconj_by,34405,4027,15344,0,2928,2928,0
set.separates_points,224912,62771,87465,0,19950,19950,0
punit.add_comm_group._proof_3,171315,33816,70186,0,15200,15200,0
eq.substr,386308,158374,155033,0,38679,38679,0
environment.projection_info.is_class,329330,527431,145012,4,58735,58735,0
psigma.fintype_prop_left._proof_1,73399,7786,30336,0,5652,5652,0
binder_info.inst_implicit.sizeof_spec,64484,8202,24531,0,4711,4711,0
has_bind.no_confusion_type,408289,128524,160242,0,40227,40227,0
quiver.hom.unop,28719,3693,11581,0,2311,2311,0
decidable.of_not_imp,284817,86744,121893,0,27333,27333,0
is_irrefl.swap,387280,119515,154145,0,36366,36366,0
coe_base_aux.equations._eqn_1,329020,94464,135152,0,29257,29257,0
lift_base.equations._eqn_1,329020,101950,134096,0,29162,29162,0
coe_to_lift.equations._eqn_1,329020,106473,148007,0,31263,31263,0
linarith.ineq.max.equations._eqn_7,52591,6031,20939,0,4056,4056,0
add_le_cancellable,481856,202712,204135,0,48159,48159,0
set.nonempty_of_mem,133713,20187,57489,0,11161,11161,0
matrix.submatrix,75123,8798,30869,0,5980,5980,0
ulift.has_neg.equations._eqn_1,383291,132207,153343,0,35208,35208,0
list.lex.drec_on,-1,-1,-1,-1,-1,-1,200
set.eq_on.equations._eqn_1,154062,30847,64332,0,13440,13440,0
well_founded_lt.fix,-1,-1,-1,-1,-1,-1,200
ordered_add_comm_group.lt._default.equations._eqn_1,148248,22249,62056,0,12158,12158,0
add_opposite.has_mul.equations._eqn_1,282686,65364,118932,0,24644,24644,0
fin.has_lt,463111,212280,178862,0,50967,-1,0
with_bot.unbot'_bot,-1,-1,-1,-1,-1,-1,2
psum.alt.sizeof._main,504060,232393,192835,0,51814,51814,0
matrix.to_blocks₂₁,159962,29010,65661,0,14044,14044,0
psigma.no_confusion_type,542548,227100,230651,0,57589,57589,0
state_t.monad_map,560934,342321,241722,1,66413,66413,0
list.to_chunks_aux._match_1.equations._eqn_1,272064,67247,117796,0,26647,26647,0
function.mem_support,308898,76889,127036,0,28008,28008,0
encodable.of_left_inverse._proof_1,452492,158004,174015,0,42130,42130,0
subtype.map,-1,-1,-1,-1,-1,-1,200
option_t.monad_map.equations._eqn_1,481623,212600,241612,0,66806,66806,0
with_one.has_mul,605573,245870,252431,0,66567,66567,0
set.surj_on_image,35226,3822,15742,0,2873,2873,0
pi.int_apply,257882,50787,96523,0,20686,20686,0
fish.equations._eqn_1,570647,315724,325746,2,70235,70235,0
exists_le_le,740173,550640,292580,0,89680,89680,0
relation.refl_gen.drec,857311,796648,342102,0,121324,121324,0
lex.non_unital_semiring,-1,-1,-1,-1,-1,-1,-1000
AddCommMon.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
sigma.map.equations._eqn_1,802628,509874,310896,0,97227,-1,0
fin.add_monoid_with_one,-1,-1,-1,-1,-1,-1,200
add_action.surjective_vadd,918207,870663,353841,0,129434,129434,0
has_nat_cast.has_sizeof_inst,175566,31596,71146,0,14469,14469,0
monad_functor.no_confusion_type,909047,1077945,353904,0,134640,134640,0
sub_mul_action.has_bot,-1,-1,-1,-1,-1,-1,-1000
order_dual.no_max_order,1070269,1279919,459247,0,-1,-1,-1000
has_star.no_confusion,1031637,1100219,391468,0,160333,-1,0
ring_equiv.inv_fun,-1,-1,-1,-1,-1,-1,-1000
equiv_like.cases_on,1018168,1464265,-1,-1,-1,-1,-1000
monad_io_net_system.listen,-1,-1,-1,-1,-1,-1,-1000
list.ilast',-1,-1,-1,-1,-1,-1,2
has_Inf.has_sizeof_inst,211171,58200,108420,0,21443,21443,1
monad_io_net_system.recv,-1,-1,-1,-1,-1,-1,-1000
int.of_nat_eq_of_nat_iff,1049519,947172,452603,0,156245,-1,0
sum.lex.drec_on,-1,-1,-1,-1,-1,-1,-1000
num.no_confusion,1091756,1140507,466634,0,-1,-1,-1000
bool.not_ff,1356773,1626588,-1,-1,-1,-1,-1000
is_star_normal.dcases_on,-1,-1,-1,-1,-1,-1,-1000
is_add_regular.dcases_on,-1,-1,-1,-1,-1,-1,-1000
has_well_founded.no_confusion,1257088,1728926,-1,-1,-1,-1,-1000
directed.mono,1287428,1773957,-1,-1,-1,-1,-1000
cubic.no_confusion,-1,-1,-1,-1,-1,-1,-1000
has_monad_lift_t.mk.inj,1136358,1747606,-1,-1,-1,-1,-1000
param_info.no_confusion,-1,-1,-1,-1,-1,-1,-1000
relation.trans_gen.is_trans,-1,-1,-1,-1,-1,-1,-1000
has_bind.no_confusion,-1,-1,-1,-1,-1,-1,-1000
order_dual.of_dual_to_dual,54638,6846,42193,0,7917,7917,0
has_monad_lift.no_confusion,1372828,1637468,-1,-1,-1,-1,-1000
set.mem_sUnion,224617,43924,88069,0,18211,18211,0
is_bot.to_dual,27139,5136,22962,0,4559,4559,0
set.range_factorization.equations._eqn_1,539368,317018,232798,0,83291,83291,0
matrix.to_blocks₂₂.equations._eqn_1,227291,58355,93964,0,19905,19905,0
category_theory.pi.sum_elim_category._main,-1,-1,-1,-1,-1,-1,-1000
monad_except_adapter.has_sizeof_inst,501376,212752,204623,0,48814,48814,0
option.pmap_none,93148,12582,40510,0,7565,7565,0
function.iterate_zero,66870,7170,31143,0,5514,5514,0
nontrivial.to_nonempty.equations._eqn_1,632864,374557,260569,0,71567,71567,0
int.cast_def,386260,213496,296146,0,64974,64974,0
star_semigroup.to_has_involutive_star,-1,-1,-1,-1,-1,-1,-1000
pi.eval_mul_hom_apply,92835,12371,40156,0,7413,7413,0
subsingleton_info.sizeof,89641,14218,38923,0,7201,7201,0
has_smul.mk.sizeof_spec,72596,8555,34148,0,6315,6315,0
eqv_gen.setoid.equations._eqn_1,1304561,1307382,-1,-1,-1,-1,-1000
con.rel_eq_coe,-1,-1,-1,-1,-1,-1,200
classical.some_spec2,1260237,1702724,-1,-1,-1,-1,-1000
is_central_scalar.unop_smul_eq_smul,-1,-1,-1,-1,-1,-1,-1000
list.range_core._sunfold,-1,-1,-1,-1,-1,-1,-1000
rbnode.balance1.equations._eqn_4,218733,44161,92991,0,19014,19014,0
list.permutations'_aux,-1,-1,-1,-1,-1,-1,2
list.mem.equations._eqn_1,55815,6578,27636,0,4785,4785,0
list.drop,-1,-1,-1,-1,-1,-1,-1000
tactic.interactive.rep_arity.sizeof,-1,-1,-1,-1,-1,-1,-1000
list.reverse_core.equations._eqn_1,72581,12668,35497,0,5866,5866,1
list.mem_nil_iff,93973,12805,47510,0,8250,8250,0
set.well_founded_on,356263,124533,163619,0,37009,37009,0
equiv.cast._proof_2,-1,-1,-1,-1,-1,-1,-1000
has_le.le.dual,28719,2995,13075,0,2439,2439,0
one_mem_class.cases_on,-1,-1,-1,-1,-1,-1,-1000
option.get_some,59674,6876,24932,0,4634,4634,0
category_theory.category_struct.no_confusion_type,-1,-1,-1,-1,-1,-1,-1000
subsemigroup.mul_mem',-1,-1,-1,-1,-1,-1,2
iff_self_and,-1,-1,-1,-1,-1,-1,-1000
feature_search.predictor_cfg.mk.inj_eq,-1,-1,-1,-1,-1,-1,-1000
tactic.dsimp_config.no_confusion,-1,-1,-1,-1,-1,-1,-1000
matrix.to_blocks_from_blocks₂₁,-1,-1,-1,-1,-1,-1,200
list.update_nth,-1,-1,-1,-1,-1,-1,-1000
linarith.comp.mk.inj_arrow,-1,-1,-1,-1,-1,-1,-1000
list.zip,-1,-1,-1,-1,-1,-1,-1000
monad_functor.no_confusion,-1,-1,-1,-1,-1,-1,-1000
cycle.chain._match_1,-1,-1,-1,-1,-1,-1,-1000
list.lt,-1,-1,-1,-1,-1,-1,-1000
list.traverse._main,-1,-1,-1,-1,-1,-1,-1000
prod.lex.is_well_founded,-1,-1,-1,-1,-1,-1,-1000
list.zip_with4.equations._eqn_2,104394,15681,47529,0,8842,8842,0
exists_exists_and_eq_and,-1,-1,-1,-1,-1,-1,-1000
fun_like.congr,-1,-1,-1,-1,-1,-1,-1000
functor.comp.seq.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
with_bot.to_dual_symm_apply,71877,9336,35761,0,6490,6490,0
option.iget_of_mem,-1,-1,-1,-1,-1,-1,-1000
list.unzip._main.equations._eqn_1,196412,40041,88810,0,17859,17859,0
sigma.mk.inj_arrow,-1,-1,-1,-1,-1,-1,-1000
denumerable.mk'._proof_1,-1,-1,-1,-1,-1,-1,2
smt_pre_config.mk.inj_eq,-1,-1,-1,-1,-1,-1,-1000
list.ilast._main.equations._eqn_3,62082,7511,25758,0,4855,4855,0
list.split_on,-1,-1,-1,-1,-1,-1,-1000
has_distrib_neg.cases_on,-1,-1,-1,-1,-1,-1,-1000
ematch_config.sizeof,-1,-1,-1,-1,-1,-1,-1000
encodable.encode_sum,-1,-1,-1,-1,-1,-1,-1000
mul_hom.mk.inj,-1,-1,-1,-1,-1,-1,-1000
embedding_like.apply_eq_iff_eq,-1,-1,-1,-1,-1,-1,-1000
int.div2._sunfold,-1,-1,-1,-1,-1,-1,-1000
list.mmap_with_index_aux._main,-1,-1,-1,-1,-1,-1,-1000
pos_num.pred'.equations._eqn_3,-1,-1,-1,-1,-1,-1,2
monad_io.mk.inj,-1,-1,-1,-1,-1,-1,-1000
alist.keys,-1,-1,-1,-1,-1,-1,-1000
partial_order_of_SO._match_1.equations._eqn_3,743880,428711,-1,-1,-1,-1,1
traversable.mk.inj_arrow,-1,-1,-1,-1,-1,-1,-1000
list.mfoldl._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,200
option.decidable_eq,-1,-1,-1,-1,-1,-1,-1000
list.mfoldr_cons,-1,-1,-1,-1,-1,-1,200
subsemigroup.sizeof,-1,-1,-1,-1,-1,-1,-1000
set.ball_insert_iff,-1,-1,-1,-1,-1,-1,-1000
list.decidable_nthd_nil_ne,180695,35130,84755,0,16122,16122,0
add_semigroup.mk.inj,-1,-1,-1,-1,-1,-1,-1000
one_le_two',-1,-1,-1,-1,-1,-1,2
list.length._sunfold,-1,-1,-1,-1,-1,-1,-1000
equiv_like.no_confusion,-1,-1,-1,-1,-1,-1,-1000
option.sizeof.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
fintype.decidable_eq_embedding_fintype._proof_1,-1,-1,-1,-1,-1,-1,-1000
io.proc.child.stdin.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
rel_iso.of_surjective._proof_2,-1,-1,-1,-1,-1,-1,-1000
prod.has_faithful_vadd_right,-1,-1,-1,-1,-1,-1,-1000
subsingleton_prod_self_equiv.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
expr.address.has_append.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
equiv.Pi_comm_symm,1211119,1557259,-1,-1,-1,-1,-1000
list.reverse_core.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
mk_iff.list_option_merge._sunfold,-1,-1,-1,-1,-1,-1,0
list.prod.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
list.inth.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
list.kunion._main.equations._eqn_1,118878,29922,-1,-1,-1,-1,1
list.mmap'_diag._main.equations._eqn_1,-1,-1,-1,-1,-1,-1,2
mul_action_hom.mk.inj_eq,-1,-1,-1,-1,-1,-1,-1000
list.kunion.equations._eqn_1,118878,19703,49729,0,9372,9372,0
can_lift.mk.sizeof_spec,83847,13560,40974,0,7612,7612,0
set.image.nonempty,-1,-1,-1,-1,-1,-1,-1000
pequiv.partial_order._proof_2,312360,105529,153465,1,36289,36289,0
lift_list.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
list.mfirst.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
initial_seg.refl._proof_1,205033,46030,93241,0,18763,18763,0
add_con.symm,-1,-1,-1,-1,-1,-1,-1000
npow_rec._sunfold,-1,-1,-1,-1,-1,-1,-1000
num.size,-1,-1,-1,-1,-1,-1,-1000
add_equiv.to_add_monoid_hom._proof_1,-1,-1,-1,-1,-1,-1,0
equiv.option_equiv_sum_punit_symm_inr,85957,12385,37767,0,7266,7266,0
with_bot.order_bot.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
list.zip_with3.equations._eqn_4,-1,-1,-1,-1,-1,-1,-1000
list.le_eq_not_gt,-1,-1,-1,-1,-1,-1,-1000
is_strict_total_order.swap,-1,-1,-1,-1,-1,-1,200
bnot_eq_ff_eq_eq_tt,-1,-1,-1,-1,-1,-1,-1000
equiv.psigma_equiv_sigma_apply,788025,805372,-1,-1,-1,-1,1
subsemigroup.has_bot._proof_1,-1,-1,-1,-1,-1,-1,-1000
_nest_1_1._nest_1_1.tactic.tactic_script._mut_.base_0.inj,-1,-1,-1,-1,-1,-1,-1000
bool.bor_comm,842673,767829,352997,0,121342,-1,0
nat.unary_cast._main.equations._eqn_1,181504,36353,79021,0,15763,15763,0
list.is_prefix_of.equations._eqn_4,-1,-1,-1,-1,-1,-1,-1000
list.partition._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
fin.mk.sizeof_spec,-1,-1,-1,-1,-1,-1,-1000
pos_num.size._main.equations._eqn_1,54445,6510,23600,0,4508,4508,0
prefunctor.comp.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
list.alternating_prod.equations._eqn_3,-1,-1,-1,-1,-1,-1,-1000
decidable_eq_of_bool_pred.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
to_additive.value_type.mk.inj_arrow,-1,-1,-1,-1,-1,-1,-1000
prod.lex.is_well_order._match_4.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
std_gen.mk.sizeof_spec,-1,-1,-1,-1,-1,-1,-1000
list.insert_nth_succ_nil,90281,13596,41887,0,8214,8214,0
znum.zero.sizeof_spec,64484,8739,27987,0,5036,5036,0
tactic.delta_config.mk.sizeof_spec,-1,-1,-1,-1,-1,-1,-1000
list.countp._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
ulift.mul_zero_class._proof_1,-1,-1,-1,-1,-1,-1,-1000
vector.induction_on._proof_3,-1,-1,-1,-1,-1,-1,-1000
linear_ordered_semiring.nsmul._default,-1,-1,-1,-1,-1,-1,-1000
subadditive_hom_class.mk.sizeof_spec,103247,15451,55570,0,8904,8904,0
pequiv.mk.inj_arrow,-1,-1,-1,-1,-1,-1,-1000
function.injective.has_involutive_inv,-1,-1,-1,-1,-1,-1,-1000
add_submonoid.to_submonoid._proof_1,-1,-1,-1,-1,-1,-1,-1000
_private.2468577953.meas._sunfold,-1,-1,-1,-1,-1,-1,-1000
nat.zero_lt_bit1,-1,-1,-1,-1,-1,-1,-1000
add_subsemigroup.mk.inj_eq,-1,-1,-1,-1,-1,-1,-1000
monad_io_terminal.sizeof,-1,-1,-1,-1,-1,-1,0
list.map_with_index_core.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
pnat.nat_pred.equations._eqn_1,410796,172297,173266,0,44555,44555,0
list.cyclic_permutations,-1,-1,-1,-1,-1,-1,0
principal_seg.coe_fn_to_rel_embedding,-1,-1,-1,-1,-1,-1,-1000
monad_io_net_system.mk.sizeof_spec,314932,417924,164814,4,71047,71047,0
psigma.decidable_eq._match_1.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
option.decidable_exists_mem._main,-1,-1,-1,-1,-1,-1,-1000
set.image2_subset_left,-1,-1,-1,-1,-1,-1,-1000
mul_self_eq_zero,-1,-1,-1,-1,-1,-1,255
tree.of_rbnode._main.equations._eqn_3,-1,-1,-1,-1,-1,-1,255
encodable.decidable_eq_of_encodable.equations._eqn_1,-1,-1,-1,-1,-1,-1,255
list.pairwise_cons,-1,-1,-1,-1,-1,-1,255
function.surjective.has_involutive_inv._proof_1,-1,-1,-1,-1,-1,-1,-1000
list.many._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,0
ulift.add_semigroup._proof_2,653419,455087,304971,0,91544,-1,0
int.to_nat_sub_to_nat_neg,-1,-1,-1,-1,-1,-1,200
list.lookup_all._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
add_monoid_hom.to_multiplicative''._proof_3,-1,-1,-1,-1,-1,-1,200
semigroup.ext,-1,-1,-1,-1,-1,-1,-1000
monoid_hom.map_mul,-1,-1,-1,-1,-1,-1,-1000
mul_equiv.mul_equiv_of_unique,-1,-1,-1,-1,-1,-1,0
option.coe_get,-1,-1,-1,-1,-1,-1,0
list.sorted_singleton,-1,-1,-1,-1,-1,-1,200
function.injective.mul_one_class._proof_2,-1,-1,-1,-1,-1,-1,-1000
tree.map.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
add_le_iff_nonpos_right,-1,-1,-1,-1,-1,-1,1
smul_hom_class.no_confusion,-1,-1,-1,-1,-1,-1,-1000
list.nodup.nth_le_bijection_of_forall_mem_list._proof_1,-1,-1,-1,-1,-1,-1,-1000
rbnode.well_formed.drec_on,-1,-1,-1,-1,-1,-1,200
list.of_fn_rec._proof_1,-1,-1,-1,-1,-1,-1,-1000
list.mband.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
set.nonempty.of_vsub_right,-1,-1,-1,-1,-1,-1,-1000
submonoid_class.no_confusion,-1,-1,-1,-1,-1,-1,-1000
multiplicative.semigroup.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
subgroup_class.to_ordered_comm_group._proof_1,-1,-1,-1,-1,-1,-1,-1000
monoid_with_zero.npow._default.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
linear_ordered_cancel_add_comm_monoid.nsmul._default.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
ordered_add_comm_group.nsmul._default.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
tactic.rewrite_cfg.has_sizeof_inst,-1,-1,-1,-1,-1,-1,-1000
add_submonoid.mem_carrier,-1,-1,-1,-1,-1,-1,-1000
occurrences.neg.sizeof_spec,-1,-1,-1,-1,-1,-1,-1000
tactic.tactic_script.pack_1_2.inj,-1,-1,-1,-1,-1,-1,200
mul_left_cancel,-1,-1,-1,-1,-1,-1,-1000
add_submonoid.complete_lattice._proof_16,163576,135823,86176,2,24521,24521,0
prod.has_exists_mul_of_le.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
list.pairwise.chain',-1,-1,-1,-1,-1,-1,2
option.lift_or_get_is_right_id.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
equiv.prod_congr._match_2,-1,-1,-1,-1,-1,-1,200
equiv.exists_congr_left,-1,-1,-1,-1,-1,-1,-1000
list.duplicate.of_duplicate_cons,-1,-1,-1,-1,-1,-1,200
monoid_hom.inl._proof_2,-1,-1,-1,-1,-1,-1,200
flag.chain_le,-1,-1,-1,-1,-1,-1,-1000
part.mem_bind_iff,-1,-1,-1,-1,-1,-1,200
function.embedding.subtype_map.equations._eqn_1,-1,-1,-1,-1,-1,-1,0
function.embedding.pprod_map.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
fin.decidable_lt,-1,-1,-1,-1,-1,-1,-1000
list.bag_inter._main.equations._eqn_2,95745,13504,44551,0,7896,7896,0
tactic.itauto.prop.or.sizeof_spec,-1,-1,-1,-1,-1,-1,-1000
znum.add._main.equations._eqn_4,73695,10849,33718,0,6388,6388,0
tree.index_of.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
part.left_dom_of_append_dom,483286,250069,215834,0,58959,58959,0
pos_num.add.equations._eqn_6,-1,-1,-1,-1,-1,-1,-1000
applicative.mk.sizeof_spec,-1,-1,-1,-1,-1,-1,-1000
set.Inter_sub_subset,-1,-1,-1,-1,-1,-1,-1000
equiv.sum_compl.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
part.mem_to_option,-1,-1,-1,-1,-1,-1,-1000
pequiv.of_set_symm,-1,-1,-1,-1,-1,-1,200
sum.lift_rel.decidable.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
subsemigroup.to_add_subsemigroup._proof_4,-1,-1,-1,-1,-1,-1,200
name.append_suffix,-1,-1,-1,-1,-1,-1,200
equiv.set.prod,-1,-1,-1,-1,-1,-1,-1000
add_equiv.to_multiplicative._proof_6,-1,-1,-1,-1,-1,-1,0
equiv.prod_congr._match_2.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
rel_iso.rel_iso_of_unique_of_irrefl._proof_1,-1,-1,-1,-1,-1,-1,-1000
sum.lex.no_max_order._match_1.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
buffer.push_back._main.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
list.take_subset,-1,-1,-1,-1,-1,-1,200
commute.add_left,-1,-1,-1,-1,-1,-1,-1000
num.gcd_aux,-1,-1,-1,-1,-1,-1,-1000
monoid_hom.inr.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
nat.strong_sub_recursion.equations._eqn_1,-1,-1,-1,-1,-1,-1,200
pos_num.mul._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,-1000
list.concat_eq_append,-1,-1,-1,-1,-1,-1,-1000
nat.desc_factorial._main.equations._eqn_2,-1,-1,-1,-1,-1,-1,0
with_one.monoid._proof_5,-1,-1,-1,-1,-1,-1,-1000
setoid.prod.equations._eqn_1,-1,-1,-1,-1,-1,-1,-1000
mul_equiv.coe_prod_comm_symm,460653,210580,204990,0,50103,50103,0
